epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.86,1.50377,0.93237,0.0016,0.51822,0.46205,0.55123,0.32288,1.70128,1.13308,0.00165,0.000452425,0.000452425,0.000452425
43,230.169,1.58515,0.9581,0.00151,0.57732,0.42218,0.52549,0.30202,1.67805,1.2764,0.00162,0.000450162,0.000450162,0.000450162
44,233.64,1.49964,0.91607,0.00147,0.61498,0.38817,0.52064,0.30569,1.63989,1.27799,0.0016,0.000447852,0.000447852,0.000447852
45,236.894,1.52938,0.91652,0.00141,0.61498,0.38817,0.52064,0.30569,1.63989,1.27799,0.0016,0.000445497,0.000445497,0.000445497
46,240.41,1.41431,0.90695,0.00159,0.5256,0.44914,0.50886,0.30359,1.63346,1.16264,0.0016,0.000443096,0.000443096,0.000443096
47,243.96,1.46488,0.86225,0.00139,0.53309,0.43767,0.52559,0.30046,1.60029,1.12089,0.00157,0.000440651,0.000440651,0.000440651
48,247.25,1.52627,0.86616,0.00153,0.53309,0.43767,0.52559,0.30046,1.60029,1.12089,0.00157,0.000438162,0.000438162,0.000438162
49,250.508,1.50874,0.93034,0.00152,0.54897,0.45391,0.51979,0.29904,1.61978,1.08134,0.00157,0.00043563,0.00043563,0.00043563
50,253.928,1.46822,0.87567,0.00155,0.54897,0.45391,0.51979,0.29904,1.61978,1.08134,0.00157,0.000433055,0.000433055,0.000433055
51,257.288,1.54108,0.88418,0.00157,0.51048,0.49009,0.53777,0.32079,1.67711,1.05002,0.00164,0.000430438,0.000430438,0.000430438
52,260.607,1.4229,0.79793,0.00145,0.54109,0.48849,0.53931,0.31676,1.73056,1.09171,0.0017,0.000427779,0.000427779,0.000427779
53,264.23,1.56116,0.89019,0.00151,0.54109,0.48849,0.53931,0.31676,1.73056,1.09171,0.0017,0.00042508,0.00042508,0.00042508
54,267.903,1.48749,0.90684,0.00137,0.4493,0.51716,0.55688,0.34368,1.68434,1.11453,0.00166,0.00042234,0.00042234,0.00042234
55,272.33,1.38893,0.80252,0.00164,0.42657,0.51251,0.56286,0.36155,1.65064,1.08662,0.00161,0.000419562,0.000419562,0.000419562
56,276.654,1.53197,0.85778,0.00137,0.42657,0.51251,0.56286,0.36155,1.65064,1.08662,0.00161,0.000416744,0.000416744,0.000416744
57,280.889,1.51702,0.859,0.00146,0.4824,0.5139,0.5757,0.36573,1.66507,1.04092,0.0016,0.000413888,0.000413888,0.000413888
58,285.239,1.4683,0.83475,0.00141,0.4824,0.5139,0.5757,0.36573,1.66507,1.04092,0.0016,0.000410995,0.000410995,0.000410995
59,289.632,1.4581,0.81304,0.00148,0.51201,0.51468,0.59492,0.36651,1.67231,1.07628,0.00159,0.000408065,0.000408065,0.000408065
60,294.048,1.47973,0.83421,0.00156,0.5341,0.52148,0.61613,0.36686,1.67019,1.04675,0.00162,0.0004051,0.0004051,0.0004051
61,298.415,1.45432,0.7914,0.00132,0.5341,0.52148,0.61613,0.36686,1.67019,1.04675,0.00162,0.000402099,0.000402099,0.000402099
62,302.667,1.40974,0.8051,0.00155,0.61498,0.6904,0.63894,0.37576,1.69282,1.00156,0.00165,0.000399064,0.000399064,0.000399064
63,306.951,1.43005,0.76876,0.00143,0.60933,0.70172,0.62531,0.37508,1.68356,1.00095,0.00163,0.000395995,0.000395995,0.000395995
64,310.388,1.47859,0.76352,0.00125,0.60933,0.70172,0.62531,0.37508,1.68356,1.00095,0.00163,0.000392893,0.000392893,0.000392893
65,314.006,1.4113,0.73271,0.00148,0.60855,0.69935,0.62555,0.37561,1.65745,1.04965,0.00159,0.000389759,0.000389759,0.000389759
