epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,70.4289,2.52233,2.47672,0.00313,0.64497,0.1202,0.11885,0.04877,2.84466,2.61923,0.00339,0.000450162,0.000450162,0.000450162
44,71.7052,2.518,2.39034,0.00314,0.68002,0.12884,0.12178,0.05278,2.80827,2.54311,0.00331,0.000447852,0.000447852,0.000447852
45,72.915,2.49995,2.39923,0.00296,0.68002,0.12884,0.12178,0.05278,2.80827,2.54311,0.00331,0.000445497,0.000445497,0.000445497
46,74.1982,2.36626,2.46446,0.00331,0.68234,0.11621,0.12624,0.05562,2.76356,2.46551,0.00325,0.000443096,0.000443096,0.000443096
47,75.4855,2.45707,2.36063,0.00303,0.68535,0.11314,0.12807,0.05608,2.75806,2.42239,0.00325,0.000440651,0.000440651,0.000440651
48,76.6814,2.44137,2.27537,0.0032,0.68535,0.11314,0.12807,0.05608,2.75806,2.42239,0.00325,0.000438162,0.000438162,0.000438162
49,77.943,2.52274,2.44976,0.00324,0.69407,0.10825,0.13375,0.05354,2.79251,2.38431,0.0033,0.00043563,0.00043563,0.00043563
50,79.0871,2.40646,2.3185,0.00308,0.69407,0.10825,0.13375,0.05354,2.79251,2.38431,0.0033,0.000433055,0.000433055,0.000433055
51,80.48,2.5379,2.28834,0.00328,0.70001,0.10634,0.13733,0.05458,2.77403,2.31878,0.00326,0.000430438,0.000430438,0.000430438
52,81.7129,2.39936,2.27516,0.00295,0.27418,0.12505,0.14529,0.05572,2.76518,2.27434,0.00326,0.000427779,0.000427779,0.000427779
53,82.8832,2.5497,2.33797,0.00309,0.27418,0.12505,0.14529,0.05572,2.76518,2.27434,0.00326,0.00042508,0.00042508,0.00042508
54,84.1097,2.48904,2.27771,0.00303,0.25633,0.13692,0.15316,0.0576,2.74055,2.24854,0.00323,0.00042234,0.00042234,0.00042234
55,85.3584,2.35892,2.19181,0.00326,0.26744,0.14931,0.14641,0.05647,2.70497,2.23741,0.00322,0.000419562,0.000419562,0.000419562
56,86.6093,2.4949,2.25713,0.00295,0.26744,0.14931,0.14641,0.05647,2.70497,2.23741,0.00322,0.000416744,0.000416744,0.000416744
57,87.8731,2.44673,2.11666,0.00307,0.27033,0.14793,0.14843,0.06009,2.69087,2.21022,0.00323,0.000413888,0.000413888,0.000413888
58,89.082,2.41457,2.19895,0.003,0.27033,0.14793,0.14843,0.06009,2.69087,2.21022,0.00323,0.000410995,0.000410995,0.000410995
59,90.2874,2.44225,2.16613,0.00312,0.26399,0.14673,0.14831,0.06177,2.63741,2.17876,0.00318,0.000408065,0.000408065,0.000408065
60,91.5198,2.36763,2.16073,0.00306,0.25485,0.15251,0.14966,0.0644,2.62202,2.14281,0.00312,0.0004051,0.0004051,0.0004051
61,92.71,2.41705,2.08229,0.00292,0.25485,0.15251,0.14966,0.0644,2.62202,2.14281,0.00312,0.000402099,0.000402099,0.000402099
62,94.0436,2.42115,2.2352,0.00346,0.25631,0.16698,0.14973,0.06502,2.60999,2.13963,0.00306,0.000399064,0.000399064,0.000399064
63,95.3075,2.413,2.12574,0.00302,0.26478,0.1819,0.1539,0.06474,2.64402,2.09299,0.00309,0.000395995,0.000395995,0.000395995
64,96.5051,2.45795,2.15415,0.00283,0.26478,0.1819,0.1539,0.06474,2.64402,2.09299,0.00309,0.000392893,0.000392893,0.000392893
65,97.7272,2.43174,2.09848,0.00314,0.30477,0.17746,0.15393,0.06385,2.65104,2.09515,0.00306,0.000389759,0.000389759,0.000389759
66,98.8803,2.40895,2.16894,0.00302,0.30477,0.17746,0.15393,0.06385,2.65104,2.09515,0.00306,0.000386593,0.000386593,0.000386593
67,100.203,2.41397,2.11721,0.00301,0.31009,0.18211,0.15928,0.06559,2.70782,2.08467,0.00312,0.000383397,0.000383397,0.000383397
68,101.456,2.4159,2.2256,0.00295,0.37321,0.18138,0.16706,0.06992,2.6723,2.09344,0.00308,0.000380171,0.000380171,0.000380171
69,102.639,2.31551,2.00903,0.0029,0.37321,0.18138,0.16706,0.06992,2.6723,2.09344,0.00308,0.000376916,0.000376916,0.000376916
70,103.905,2.32543,2.21544,0.00295,0.38347,0.18164,0.178,0.07203,2.67061,2.08465,0.00307,0.000373633,0.000373633,0.000373633
71,105.122,2.3966,2.03925,0.00298,0.39654,0.18164,0.17832,0.07327,2.68161,2.07402,0.0031,0.000370323,0.000370323,0.000370323
72,106.344,2.31965,1.98861,0.00298,0.39654,0.18164,0.17832,0.07327,2.68161,2.07402,0.0031,0.000366986,0.000366986,0.000366986
73,107.641,2.41556,2.02643,0.00284,0.39438,0.17114,0.17868,0.07182,2.68987,2.02281,0.00312,0.000363623,0.000363623,0.000363623
74,108.815,2.38862,2.25157,0.00294,0.39438,0.17114,0.17868,0.07182,2.68987,2.02281,0.00312,0.000360235,0.000360235,0.000360235
75,110.034,2.36376,2.07988,0.00281,0.38115,0.16552,0.17989,0.07141,2.70954,2.00074,0.00314,0.000356823,0.000356823,0.000356823
76,111.26,2.2442,1.99094,0.00281,0.31456,0.17867,0.17865,0.06984,2.70946,1.9701,0.00316,0.000353387,0.000353387,0.000353387
77,112.45,2.24578,1.90725,0.00287,0.31456,0.17867,0.17865,0.06984,2.70946,1.9701,0.00316,0.00034993,0.00034993,0.00034993
78,113.682,2.33939,2.00512,0.00272,0.319,0.17748,0.18529,0.07171,2.69786,1.96181,0.00315,0.00034645,0.00034645,0.00034645
79,114.906,2.51457,2.23219,0.0029,0.27475,0.17754,0.18411,0.07246,2.68774,1.95895,0.00315,0.00034295,0.00034295,0.00034295
80,116.155,2.29951,2.01385,0.00298,0.27475,0.17754,0.18411,0.07246,2.68774,1.95895,0.00315,0.00033943,0.00033943,0.00033943
81,117.36,2.35893,2.08618,0.00298,0.24138,0.20151,0.1949,0.07305,2.67738,1.98487,0.00312,0.000335892,0.000335892,0.000335892
82,118.531,2.38897,1.91217,0.00281,0.24138,0.20151,0.1949,0.07305,2.67738,1.98487,0.00312,0.000332335,0.000332335,0.000332335
83,119.765,2.26261,1.91057,0.00301,0.25703,0.19527,0.1952,0.0726,2.67058,1.98462,0.00312,0.00032876,0.00032876,0.00032876
84,121.002,2.29386,1.99734,0.00305,0.25361,0.19239,0.1961,0.07093,2.67718,2.00606,0.00312,0.00032517,0.00032517,0.00032517
85,122.254,2.34221,1.87639,0.00278,0.25361,0.19239,0.1961,0.07093,2.67718,2.00606,0.00312,0.000321564,0.000321564,0.000321564
86,123.465,2.31603,2.05337,0.00282,0.263,0.19239,0.1966,0.07053,2.68125,1.99112,0.00311,0.000317943,0.000317943,0.000317943
87,124.665,2.26876,1.91365,0.00289,0.28398,0.19047,0.19669,0.0696,2.67567,1.96508,0.00312,0.000314309,0.000314309,0.000314309
88,125.806,2.25768,1.90146,0.00278,0.28398,0.19047,0.19669,0.0696,2.67567,1.96508,0.00312,0.000310662,0.000310662,0.000310662
89,127.05,2.22793,1.96617,0.0028,0.2718,0.20392,0.19847,0.07091,2.65432,1.95136,0.0031,0.000307003,0.000307003,0.000307003
90,128.358,2.26485,1.96274,0.00268,0.2718,0.20392,0.19847,0.07091,2.65432,1.95136,0.0031,0.000303333,0.000303333,0.000303333
91,129.59,2.30848,1.88729,0.00298,0.28617,0.20063,0.19983,0.07236,2.61845,1.92899,0.00305,0.000299653,0.000299653,0.000299653
92,130.835,2.19452,1.95825,0.00269,0.28922,0.20431,0.20376,0.07928,2.59384,1.91125,0.003,0.000295964,0.000295964,0.000295964
93,132.006,2.20883,1.90954,0.00285,0.28922,0.20431,0.20376,0.07928,2.59384,1.91125,0.003,0.000292267,0.000292267,0.000292267
94,133.299,2.37503,1.91324,0.00285,0.29839,0.20485,0.21074,0.07971,2.55176,1.88408,0.00296,0.000288562,0.000288562,0.000288562
95,134.541,2.3664,1.92623,0.00292,0.29311,0.22527,0.20695,0.08081,2.52892,1.86987,0.00293,0.000284851,0.000284851,0.000284851
96,135.842,2.25784,1.95643,0.00266,0.29311,0.22527,0.20695,0.08081,2.52892,1.86987,0.00293,0.000281134,0.000281134,0.000281134
97,137.056,2.19926,1.95959,0.00272,0.2816,0.22764,0.21589,0.08245,2.50403,1.85224,0.00289,0.000277413,0.000277413,0.000277413
98,138.333,2.29137,1.93779,0.00274,0.2816,0.22764,0.21589,0.08245,2.50403,1.85224,0.00289,0.000273688,0.000273688,0.000273688
99,139.549,2.25568,2.05348,0.00265,0.29704,0.22025,0.21861,0.08334,2.4845,1.8345,0.00288,0.00026996,0.00026996,0.00026996
100,140.813,2.24216,1.92435,0.00243,0.34628,0.20418,0.2131,0.08255,2.49136,1.813,0.00289,0.00026623,0.00026623,0.00026623
101,142.011,2.20509,1.98959,0.00287,0.34628,0.20418,0.2131,0.08255,2.49136,1.813,0.00289,0.0002625,0.0002625,0.0002625
102,143.28,2.14302,1.73793,0.00254,0.35515,0.19391,0.20299,0.0803,2.51468,1.80892,0.0029,0.00025877,0.00025877,0.00025877
103,144.531,2.31213,1.91302,0.00274,0.31097,0.19232,0.20286,0.08051,2.53491,1.77133,0.00293,0.00025504,0.00025504,0.00025504
104,145.657,2.28249,1.84118,0.00266,0.31097,0.19232,0.20286,0.08051,2.53491,1.77133,0.00293,0.000251312,0.000251312,0.000251312
105,146.903,2.18802,1.86416,0.00273,0.26698,0.22746,0.21256,0.08132,2.53465,1.77129,0.00293,0.000247587,0.000247587,0.000247587
106,148.121,2.24408,1.76217,0.0026,0.26698,0.22746,0.21256,0.08132,2.53465,1.77129,0.00293,0.000243866,0.000243866,0.000243866
107,149.402,2.17187,1.72698,0.00258,0.28217,0.23154,0.20959,0.08343,2.52506,1.79101,0.00291,0.000240149,0.000240149,0.000240149
108,150.775,2.22497,1.79917,0.00271,0.28449,0.22986,0.20313,0.08171,2.50971,1.79751,0.00289,0.000236438,0.000236438,0.000236438
109,151.968,2.166,1.88513,0.00284,0.28449,0.22986,0.20313,0.08171,2.50971,1.79751,0.00289,0.000232733,0.000232733,0.000232733
110,153.173,2.32156,2.0236,0.00277,0.29553,0.23881,0.21606,0.0819,2.4624,1.8101,0.00286,0.000229036,0.000229036,0.000229036
111,154.44,2.41635,1.84722,0.0027,0.29573,0.23949,0.21442,0.08277,2.45798,1.81687,0.00288,0.000225347,0.000225347,0.000225347
112,155.627,2.30323,2.00756,0.00275,0.29573,0.23949,0.21442,0.08277,2.45798,1.81687,0.00288,0.000221667,0.000221667,0.000221667
113,156.91,2.18172,1.79323,0.00285,0.30104,0.24205,0.21535,0.08299,2.44601,1.85853,0.00284,0.000217997,0.000217997,0.000217997
114,158.092,2.24736,1.8186,0.00275,0.30104,0.24205,0.21535,0.08299,2.44601,1.85853,0.00284,0.000214338,0.000214338,0.000214338
115,159.35,2.34129,1.82785,0.00263,0.29629,0.24981,0.21675,0.08246,2.48188,1.85703,0.00285,0.000210691,0.000210691,0.000210691
116,160.574,2.18258,1.80656,0.00274,0.28317,0.24852,0.20708,0.08125,2.49658,1.85945,0.00285,0.000207057,0.000207057,0.000207057
117,161.766,2.12528,1.70729,0.00262,0.28317,0.24852,0.20708,0.08125,2.49658,1.85945,0.00285,0.000203436,0.000203436,0.000203436
118,163.057,2.32938,1.84675,0.0027,0.27677,0.24519,0.2124,0.08324,2.50372,1.84908,0.00288,0.00019983,0.00019983,0.00019983
119,164.381,2.22131,1.77265,0.00253,0.48286,0.2447,0.21412,0.0811,2.54129,1.85039,0.00291,0.00019624,0.00019624,0.00019624
120,165.571,2.13324,1.73402,0.0028,0.48286,0.2447,0.21412,0.0811,2.54129,1.85039,0.00291,0.000192665,0.000192665,0.000192665
121,166.779,2.20937,1.78513,0.00273,0.48361,0.24533,0.22005,0.0823,2.54401,1.84664,0.00292,0.000189108,0.000189108,0.000189108
122,167.961,2.16335,1.80553,0.00267,0.48361,0.24533,0.22005,0.0823,2.54401,1.84664,0.00292,0.00018557,0.00018557,0.00018557
123,169.123,2.15319,2.10907,0.00308,0.47304,0.24931,0.21766,0.08414,2.54386,1.82655,0.00291,0.00018205,0.00018205,0.00018205
124,170.475,2.25355,1.77618,0.00258,0.48394,0.24894,0.21969,0.08393,2.52278,1.82479,0.00289,0.00017855,0.00017855,0.00017855
125,171.661,2.24477,1.71134,0.00245,0.48394,0.24894,0.21969,0.08393,2.52278,1.82479,0.00289,0.00017507,0.00017507,0.00017507
126,172.967,2.20817,1.7199,0.00242,0.49074,0.2482,0.22221,0.08666,2.50496,1.81505,0.00288,0.000171613,0.000171613,0.000171613
127,174.217,2.29035,1.80123,0.00256,0.49436,0.23665,0.22066,0.0864,2.49302,1.82169,0.00285,0.000168177,0.000168177,0.000168177
128,175.425,2.20799,1.76969,0.00292,0.49436,0.23665,0.22066,0.0864,2.49302,1.82169,0.00285,0.000164765,0.000164765,0.000164765
129,176.652,2.11302,1.73456,0.0025,0.49406,0.23387,0.21937,0.08567,2.49848,1.80451,0.00286,0.000161377,0.000161377,0.000161377
130,177.915,2.1974,1.69673,0.00276,0.49406,0.23387,0.21937,0.08567,2.49848,1.80451,0.00286,0.000158014,0.000158014,0.000158014
131,179.129,2.00202,1.63125,0.00265,0.49541,0.2304,0.21316,0.08372,2.49021,1.79649,0.00283,0.000154677,0.000154677,0.000154677
