epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4548,2.41014,6.00195,0.00343,0,0,0,0,2.91891,4.83737,0.00359,2e-05,2e-05,0.09602
2,21.1744,2.40839,5.38684,0.00346,0,0,0,0,2.9865,4.66531,0.00355,4.49974e-05,4.49974e-05,0.091045
3,22.657,2.45895,4.74855,0.00355,0,0,0,0,3.09935,4.57948,0.00382,6.99836e-05,6.99836e-05,0.08607
4,24.1567,2.48257,4.44584,0.00343,0,0,0,0,3.43864,4.44105,0.00436,9.49499e-05,9.49499e-05,0.0810949
5,25.7363,2.48062,4.13902,0.00313,0,0,0,0,3.5406,4.3949,0.00451,0.000119888,0.000119888,0.0761199
6,27.1785,2.4472,3.90579,0.00291,0,0,0,0,3.55779,4.36894,0.00442,0.000144788,0.000144788,0.0711448
7,28.6434,2.29758,3.90552,0.00339,0.2,0.00889,0.009,0.0036,3.4181,4.22521,0.00414,0.000169642,0.000169642,0.0661696
8,30.0828,2.46707,3.85173,0.00317,0.11667,0.03111,0.02822,0.0132,3.22889,4.13988,0.00387,0.000194441,0.000194441,0.0611944
9,31.4965,2.46772,3.82235,0.00324,0.06875,0.04889,0.04173,0.01987,3.0027,4.05352,0.00361,0.000219176,0.000219176,0.0562192
10,33.072,2.38381,3.71855,0.00288,0.05484,0.07556,0.04546,0.02482,2.65407,3.9671,0.00317,0.000243839,0.000243839,0.0512438
11,34.5313,2.21811,3.51346,0.00266,0.04935,0.08444,0.04491,0.0227,2.6208,3.92828,0.0032,0.000268421,0.000268421,0.0462684
12,36.0796,2.19501,3.74551,0.00285,0.04124,0.08889,0.04405,0.02323,2.59748,3.89237,0.00307,0.000292913,0.000292913,0.0412929
13,37.4996,2.20225,3.48942,0.00265,0.03053,0.08889,0.04457,0.02443,2.55071,3.849,0.00295,0.000317308,0.000317308,0.0363173
14,38.8991,2.406,3.39216,0.00277,0.03053,0.08889,0.04457,0.02443,2.55071,3.849,0.00295,0.000341595,0.000341595,0.0313416
15,40.3028,2.27326,3.25435,0.00263,0.12178,0.10076,0.04851,0.02594,2.505,3.76557,0.00286,0.000365767,0.000365767,0.0263658
16,41.8401,2.33276,3.49966,0.00289,0.14218,0.12319,0.06553,0.03748,2.48241,3.70004,0.00278,0.000389816,0.000389816,0.0213898
