epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5698,2.50067,6.27473,0.00447,0.1139,0.11755,0.04028,0.01437,3.08791,4.17821,0.00384,2e-05,2e-05,0.09602
2,20.8889,2.70602,4.39057,0.00427,0.00792,0.01208,0.00062,0.00031,3.55543,8.50191,0.00414,4.49974e-05,4.49974e-05,0.091045
3,22.7566,2.65051,3.45252,0.00406,0.00025,0.00909,3e-05,1e-05,3.13013,9.82697,0.00382,6.99836e-05,6.99836e-05,0.08607
4,24.6372,2.67789,2.92346,0.0038,0,0,0,0,3.61834,11.7279,0.0044,9.49499e-05,9.49499e-05,0.0810949
5,26.5675,2.82806,2.5507,0.00366,0.00141,0.00909,0.00013,3e-05,3.30777,9.3461,0.00399,0.000119888,0.000119888,0.0761199
6,28.4171,2.40348,2.4155,0.00292,0.00455,0.01818,0.00067,0.00027,3.08502,7.49367,0.00377,0.000144788,0.000144788,0.0711448
7,30.2311,2.34763,2.40573,0.00354,0.0049,0.02727,0.00164,0.0009,3.07831,5.63732,0.00402,0.000169642,0.000169642,0.0661696
8,32.0337,2.45972,2.34311,0.00335,0.15081,0.07212,0.02623,0.01359,2.96628,4.66025,0.00382,0.000194441,0.000194441,0.0611944
9,34.0264,2.45251,2.24209,0.0033,0.05439,0.10788,0.04151,0.02019,2.90726,4.13079,0.00366,0.000219176,0.000219176,0.0562192
10,36.3202,2.42072,2.13556,0.00307,0.04426,0.16566,0.08819,0.04371,2.76983,3.5652,0.00332,0.000243839,0.000243839,0.0512438
11,38.4568,2.29889,1.89182,0.00281,0.15596,0.18815,0.09694,0.0494,2.74105,3.29511,0.00324,0.000268421,0.000268421,0.0462684
12,40.5342,2.38762,2.00409,0.00316,0.15648,0.23903,0.14652,0.06181,2.70778,2.96722,0.00315,0.000292913,0.000292913,0.0412929
13,42.7075,2.23836,1.82946,0.00276,0.57699,0.1299,0.17574,0.07268,2.73804,2.70184,0.00316,0.000317308,0.000317308,0.0363173
14,44.8341,2.37029,1.85925,0.0029,0.57699,0.1299,0.17574,0.07268,2.73804,2.70184,0.00316,0.000341595,0.000341595,0.0313416
15,46.9407,2.21977,1.6638,0.0027,0.5168,0.15676,0.18284,0.07578,2.67911,2.42572,0.00303,0.000365767,0.000365767,0.0263658
16,49.0724,2.34057,1.88839,0.00307,0.57736,0.13999,0.17793,0.07375,2.65166,2.12172,0.00296,0.000389816,0.000389816,0.0213898
17,50.8129,2.33703,1.79507,0.00284,0.70684,0.16205,0.18187,0.07951,2.57604,1.77665,0.0029,0.000413732,0.000413732,0.0164137
18,53.0332,2.25795,1.74871,0.00324,0.70684,0.16205,0.18187,0.07951,2.57604,1.77665,0.0029,0.000437508,0.000437508,0.0114375
19,55.1326,2.10519,1.62288,0.00266,0.68133,0.18309,0.19468,0.08774,2.55885,1.6374,0.003,0.000461136,0.000461136,0.00646114
20,57.3829,2.17318,1.74616,0.00293,0.76251,0.20717,0.21406,0.09913,2.44163,1.67826,0.00293,0.000484606,0.000484606,0.00148461
21,59.4235,2.27503,1.64336,0.00276,0.76251,0.20717,0.21406,0.09913,2.44163,1.67826,0.00293,0.000488376,0.000488376,0.000488376
22,61.6505,2.15214,1.61968,0.00281,0.62703,0.20976,0.23583,0.10763,2.35879,1.71489,0.00279,0.000487195,0.000487195,0.000487195
1,18.3633,2.50067,6.27473,0.00447,0.1139,0.11755,0.04028,0.01437,3.08791,4.17821,0.00384,2e-05,2e-05,0.09602
