epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6615,1.66537,6.97098,0.002,0.12303,0.04485,0.02666,0.01054,2.40135,4.15345,0.00258,2e-05,2e-05,0.09602
2,87.4331,1.85471,4.97003,0.00235,0.23556,0.00909,0.009,0.0063,2.54826,4.73384,0.00286,4.49974e-05,4.49974e-05,0.091045
3,125.862,1.81501,3.93543,0.0022,0.01538,0.00909,0.003,0.00225,2.74479,4.62634,0.00337,6.99836e-05,6.99836e-05,0.08607
4,176.155,1.78821,3.26802,0.00212,0.126,0.06707,0.05068,0.03276,2.63973,5.20102,0.003,9.49499e-05,9.49499e-05,0.0810949
5,230.088,1.66685,2.60317,0.00186,0.11753,0.08783,0.0625,0.04098,2.50198,5.1982,0.00273,0.000119888,0.000119888,0.0761199
6,281.818,1.66544,2.39472,0.00169,0.18208,0.09971,0.07059,0.041,2.50882,5.03972,0.00268,0.000144788,0.000144788,0.0711448
7,333.362,1.60416,2.45949,0.00206,0.30872,0.1415,0.10665,0.06997,1.97281,4.76057,0.00204,0.000169642,0.000169642,0.0661696
8,382.82,1.65743,2.21527,0.00188,0.32648,0.17753,0.12952,0.08329,1.83558,4.53156,0.00195,0.000194441,0.000194441,0.0611944
9,433.115,1.62688,2.00873,0.00184,0.32203,0.20168,0.14651,0.09176,1.80166,4.20428,0.00193,0.000219176,0.000219176,0.0562192
10,478.776,1.63187,1.90195,0.00175,0.24377,0.31261,0.2103,0.12823,1.70144,3.31317,0.00174,0.000243839,0.000243839,0.0512438
11,537.513,1.51573,1.64192,0.00165,0.17116,0.39334,0.25183,0.15916,1.58845,2.82996,0.0016,0.000268421,0.000268421,0.0462684
12,588.179,1.46483,1.66457,0.00166,0.26606,0.3104,0.3086,0.18645,1.52262,2.47235,0.0015,0.000292913,0.000292913,0.0412929
13,643.849,1.48893,1.55478,0.00151,0.57042,0.193,0.31696,0.19852,1.55446,2.22063,0.00151,0.000317308,0.000317308,0.0363173
14,695.542,1.52232,1.46115,0.00147,0.57042,0.193,0.31696,0.19852,1.55446,2.22063,0.00151,0.000341595,0.000341595,0.0313416
15,737.022,1.49587,1.28743,0.00151,0.76522,0.23974,0.36043,0.22486,1.50264,1.93693,0.00147,0.000365767,0.000365767,0.0263658
16,778.266,1.55458,1.52893,0.00177,0.77264,0.29138,0.45058,0.25166,1.46548,1.60208,0.00143,0.000389816,0.000389816,0.0213898
17,828.54,1.57972,1.34765,0.00152,0.80578,0.30066,0.47642,0.27436,1.48978,1.4199,0.00142,0.000413732,0.000413732,0.0164137
18,879.402,1.54004,1.33575,0.00194,0.80578,0.30066,0.47642,0.27436,1.48978,1.4199,0.00142,0.000437508,0.000437508,0.0114375
19,932.565,1.35716,1.15226,0.00145,0.83816,0.295,0.51336,0.29791,1.50284,1.31961,0.00144,0.000461136,0.000461136,0.00646114
20,980.942,1.45195,1.23307,0.00161,0.689,0.4774,0.55298,0.31693,1.45257,1.16526,0.00137,0.000484606,0.000484606,0.00148461
21,1029.29,1.44459,1.15008,0.00138,0.689,0.4774,0.55298,0.31693,1.45257,1.16526,0.00137,0.000488376,0.000488376,0.000488376
22,1073.24,1.42294,1.09661,0.00159,0.52653,0.47534,0.58496,0.34709,1.43718,1.10277,0.00135,0.000487195,0.000487195,0.000487195
23,1125.15,1.49741,1.25667,0.0016,0.51125,0.47208,0.56359,0.32649,1.43809,1.12221,0.00137,0.000485959,0.000485959,0.000485959
24,1178.18,1.44493,1.10799,0.00141,0.51125,0.47208,0.56359,0.32649,1.43809,1.12221,0.00137,0.000484668,0.000484668,0.000484668
25,1226.45,1.45368,1.14997,0.00148,0.86019,0.44933,0.58168,0.32478,1.45774,1.1191,0.00135,0.000483322,0.000483322,0.000483322
26,1276.65,1.38909,1.03738,0.00145,0.86019,0.44933,0.58168,0.32478,1.45774,1.1191,0.00135,0.000481921,0.000481921,0.000481921
27,1331.81,1.44371,1.03427,0.00143,0.79039,0.43616,0.54958,0.32112,1.54992,1.10405,0.00143,0.000480467,0.000480467,0.000480467
28,1378.38,1.41053,1.0691,0.0014,0.76727,0.4471,0.56621,0.31071,1.53656,1.08479,0.00139,0.000478958,0.000478958,0.000478958
29,1431.13,1.32327,0.98903,0.00145,0.76727,0.4471,0.56621,0.31071,1.53656,1.08479,0.00139,0.000477396,0.000477396,0.000477396
30,1483.37,1.41099,1.00049,0.00147,0.56232,0.54749,0.6041,0.33588,1.49777,1.01714,0.00135,0.000475782,0.000475782,0.000475782
31,1528.4,1.38089,0.9651,0.0014,0.54184,0.54956,0.59844,0.33202,1.50139,1.01619,0.00137,0.000474114,0.000474114,0.000474114
32,1568.64,1.40447,0.96402,0.00144,0.54184,0.54956,0.59844,0.33202,1.50139,1.01619,0.00137,0.000472394,0.000472394,0.000472394
33,1606.92,1.38313,0.95997,0.00137,0.56331,0.48672,0.58918,0.33985,1.44241,1.03426,0.00134,0.000470623,0.000470623,0.000470623
34,1645.63,1.36963,0.99097,0.00133,0.56331,0.48672,0.58918,0.33985,1.44241,1.03426,0.00134,0.0004688,0.0004688,0.0004688
35,1683.39,1.43693,0.93608,0.00146,0.51101,0.56618,0.59136,0.33642,1.51104,0.97981,0.00139,0.000466926,0.000466926,0.000466926
36,1723.21,1.40092,0.97791,0.00152,0.58733,0.53717,0.59805,0.3352,1.56442,0.94863,0.00145,0.000465002,0.000465002,0.000465002
37,1761.66,1.29392,0.83136,0.00139,0.58733,0.53717,0.59805,0.3352,1.56442,0.94863,0.00145,0.000463028,0.000463028,0.000463028
38,1799.7,1.25786,0.82889,0.00166,0.6775,0.54155,0.61326,0.3392,1.59507,0.95833,0.00147,0.000461004,0.000461004,0.000461004
